Unique Identifier,Deal Number,Decision,Decision Date,Effective Date,Expiration Date,Brokered,Country,Program,Policy Type,Decision Authority,Product Description,Term,Primary Applicant,Primary Lender,Primary Exporter,Primary Supplier,Primary Borrower,Primary Buyer,Primary Source of Repayment,Working Capital Delegaed Authority,Approved/Declined Amount,Disbursed/Shipped Amount,Undisbursed Exposure Amount,Outstanding Exposure Amount,Loan Interest Rate,First Claim Payment Date,Claim Paid Amount,Small Business Authorized Amount,Woman Owned Authorized Amount,Minority Owned Authorized Amount,Fiscal Year
07084099XX0003,AP084099XX,Approved,12/03/2009,,06/05/2016,N,Papua New Guinea,Loan,,Board,Facilities Support Management Services,Long Term,Societe Generale Asia Limited,Ex-Im Bank,Exxonmobil Development Co,Exxonmobil Development Co,Papua New Guinea Lng Global Company Ldc,Esso Highlands Limited-Png Lng Project,Papua New Guinea Lng Global Company Ldc,No,$374340634.00,$99885678.50,$183788288.50,$99885678.50,3.92%,,,$4035392.03,$0.00,$0.00,2010
07084242XX0001,AP084242XX,Approved,11/24/2009,,12/25/2010,N,Mexico,Loan,,Board,Steam - Gas - and Hydraulic Turbines - and Turbine Ge,Long Term,"Electrica Del Valle De Mexico, S.De R.L.",Ex-Im Bank,"Clipper Windpower, Inc.",Clipper Windpower Inc,"Electrica Del Valle De Mexico, S.De R.L.","Electrica Del Valle De Mexico, S.De R.L.",Edf Energies Nouvelles,No,$43032718.00,$53043802.00,$0.00,$48418382.48,4.42%,,,$2238561.99,$0.00,$0.00,2010
07084242XX0002,AP084242XX,Approved,11/24/2009,,12/25/2010,N,Mexico,Loan,,Board,Steam - Gas - and Hydraulic Turbines - and Turbine Ge,Long Term,"Electrica Del Valle De Mexico, S.De R.L.",Ex-Im Bank,"Clipper Windpower, Inc.",Clipper Windpower Inc,"Electrica Del Valle De Mexico, S.De R.L.","Electrica Del Valle De Mexico, S.De R.L.",Edf Energies Nouvelles,No,$15188018.00,$18721342.00,$0.00,$17088840.97,4.42%,,,$790080.69,$0.00,$0.00,2010
07084242XX0003,AP084242XX,Approved,11/24/2009,,08/15/2012,N,Mexico,Loan,,Board,Steam - Gas - and Hydraulic Turbines - and Turbine Ge,Long Term,"Electrica Del Valle De Mexico, S.De R.L.",Ex-Im Bank,"Clipper Windpower, Inc.",Clipper Windpower Inc,"Electrica Del Valle De Mexico, S.De R.L.","Electrica Del Valle De Mexico, S.De R.L.",Edf Energies Nouvelles,No,$16820440.00,$6394727.00,$0.00,$5837106.82,4.42%,,,$874999.28,$0.00,$0.00,2010
07084242XX0004,AP084242XX,Approved,11/24/2009,,08/15/2012,N,Mexico,Loan,,Board,Steam - Gas - and Hydraulic Turbines - and Turbine Ge,Long Term,"Electrica Del Valle De Mexico, S.De R.L.",Ex-Im Bank,"Clipper Windpower, Inc.",Clipper Windpower Inc,"Electrica Del Valle De Mexico, S.De R.L.","Electrica Del Valle De Mexico, S.De R.L.",Edf Energies Nouvelles,No,$5936625.00,$2256962.00,$0.00,$2060154.90,4.42%,,,$308823.23,$0.00,$0.00,2010
07084242XX0005,AP084242XX,Approved,11/24/2009,,02/15/2012,N,Mexico,Loan,,Board,Steam - Gas - and Hydraulic Turbines - and Turbine Ge,Long Term,"Electrica Del Valle De Mexico, S.De R.L.",Ex-Im Bank,"Clipper Windpower, Inc.",Clipper Windpower Inc,"Electrica Del Valle De Mexico, S.De R.L.","Electrica Del Valle De Mexico, S.De R.L.",Edf Energies Nouvelles,No,$0.00,$0.00,$0.00,$0.00,4.42%,,,$0.00,$0.00,$0.00,2010
07084265XX0001,AP084265XX,Approved,05/06/2010,,11/08/2011,N,"Korea, South",Loan,,Board,Aircraft,Long Term,"Korean Air Lines Co., Ltd.",Ex-Im Bank,"Boeing Company, The","Boeing Company, The",Spv/Korean Air Lines,Spv/Korean Air Lines,Spv/Korean Air Lines,No,$0.00,$130364374.70,$0.00,$112157862.10,0.581%,,,$0.00,$0.00,$0.00,2010
07084266XX0001,AP084266XX,Approved,10/01/2009,,06/20/2010,N,Turkey,Loan,,Board,Aircraft,Long Term,Hsbc Bank Plc,Ex-Im Bank,Gulfstream Delaware Corp (De),Gulfstream Delaware Corp (De),"Korfez Hava, A.S.","Korfez Hava, A.S.",Dogus Insaat Ve Ticaret A.S.,No,$32647505.00,$32647505.00,$0.00,$22037065.81,3.43%,,,$0.00,$0.00,$0.00,2010
07084271XX0001,AP084271XX,Approved,12/18/2009,,02/15/2013,N,United Kingdom,Loan,,Board,Radio and Television Broadcasting and Communicatio,Long Term,"Avanti Communications Group, Plc",Ex-Im Bank,Orbital Sciences Corporation,Orbital Sciences Corporation,"Avanti Communications Group, Plc","Avanti Communications Group, Plc","Avanti Communications Group, Plc",No,$206899358.00,$161787923.10,$0.00,$159571428.60,2.47%,,,$0.00,$1357259.78,$0.00,2010
07084271XX0002,AP084271XX,Approved,12/18/2009,,02/15/2013,N,United Kingdom,Loan,,Board,Radio and Television Broadcasting and Communicatio,Long Term,"Avanti Communications Group, Plc",Ex-Im Bank,Orbital Sciences Corporation,Orbital Sciences Corporation,"Avanti Communications Group, Plc","Avanti Communications Group, Plc","Avanti Communications Group, Plc",No,$8722291.00,$4382376.17,$0.00,$4312396.24,2.47%,,,$0.00,$57218.22,$0.00,2010
07084271XX0003,AP084271XX,Approved,12/18/2009,,02/15/2013,N,United Kingdom,Loan,,Board,Radio and Television Broadcasting and Communicatio,Long Term,"Avanti Communications Group, Plc",Ex-Im Bank,Orbital Sciences Corporation,Orbital Sciences Corporation,"Avanti Communications Group, Plc","Avanti Communications Group, Plc","Avanti Communications Group, Plc",No,$0.00,$18809977.89,$13853860.91,$18552281.19,2.47%,,,$0.00,$0.00,$0.00,2010
07084271XX0004,AP084271XX,Approved,12/18/2009,,02/15/2013,N,United Kingdom,Loan,,Board,Radio and Television Broadcasting and Communicatio,Long Term,"Avanti Communications Group, Plc",Ex-Im Bank,Orbital Sciences Corporation,Orbital Sciences Corporation,"Avanti Communications Group, Plc","Avanti Communications Group, Plc","Avanti Communications Group, Plc",No,$0.00,$12878198.19,$3909312.71,$12878198.19,2.47%,,,$0.00,$0.00,$0.00,2010
07084286XX0002,AP084286XX,Approved,03/25/2010,,12/01/2011,N,Trinidad And Tobago,Loan,,Board,Helicopters,Long Term,Bnp-Paribas,Ex-Im Bank,Agusta Aerospace Corporation,Agusta Aerospace Corporation,"Ministry Of Finance, Planning & Devlpmnt","Ministry Of Finance, Planning & Devlpmnt","Ministry Of Finance, Planning & Devlpmnt",No,$0.00,$0.00,$0.00,$0.00,1.845%,,,$0.00,$0.00,$0.00,2010
07084344XX0001,AP084344XX,Approved,07/08/2010,,08/15/2013,N,Saudi Arabia,Loan,,Board,Steam - Gas - and Hydraulic Turbines - and Turbine Ge,Long Term,"Suez Tractabel, Dubai Branch",Ex-Im Bank,General Electric Company,General Electric Company,Dhuruma Electricity Company,Dhuruma Electricity Company,Dhuruma Electricity Company,No,$250022200.00,$249247830.20,$774369.83,$249247830.20,4.06%,,,$25159733.99,$0.00,$0.00,2010
07084344XX0002,AP084344XX,Approved,07/08/2010,,08/15/2013,N,Saudi Arabia,Loan,,Board,Steam - Gas - and Hydraulic Turbines - and Turbine Ge,Long Term,"Suez Tractabel, Dubai Branch",Ex-Im Bank,General Electric Company,General Electric Company,Dhuruma Electricity Company,Dhuruma Electricity Company,Dhuruma Electricity Company,No,$100539310.00,$100534577.40,$4732.64,$100534577.40,4.06%,,,$10117270.77,$0.00,$0.00,2010
07084344XX0003,AP084344XX,Approved,07/08/2010,,08/15/2013,N,Saudi Arabia,Loan,,Board,Steam - Gas - and Hydraulic Turbines - and Turbine Ge,Long Term,"Suez Tractabel, Dubai Branch",Ex-Im Bank,General Electric Company,General Electric Company,Dhuruma Electricity Company,Dhuruma Electricity Company,Dhuruma Electricity Company,No,$30964534.00,$17172701.71,$10265788.29,$17172701.71,4.06%,,,$3115961.05,$0.00,$0.00,2010
07084385XX0001,AP084385XX,Approved,07/30/2010,,04/29/2011,N,India,Loan,,Individual Delegated Authority,Unknown,Long Term,Applied Solar Technologies India P Ltd.,Ex-Im Bank,Outback Power Systems,"Suniva, Inc.",Applied Solar Technologies India P Ltd.,Applied Solar Technologies India P Ltd.,Applied Solar Technologies India P Ltd.,Yes,$3690267.00,$3476592.00,$0.00,$2744677.92,3.8%,,,$0.00,$0.00,$0.00,2010
07084385XX0002,AP084385XX,Approved,07/30/2010,,04/29/2011,N,India,Loan,,Individual Delegated Authority,Unknown,Long Term,Applied Solar Technologies India P Ltd.,Ex-Im Bank,Outback Power Systems,"Suniva, Inc.",Applied Solar Technologies India P Ltd.,Applied Solar Technologies India P Ltd.,Applied Solar Technologies India P Ltd.,Yes,$1302447.00,$1302447.00,$0.00,$1028247.64,3.8%,,,$0.00,$0.00,$0.00,2010
07084475XX0001,AP084475XX,Approved,04/13/2010,,06/30/2010,N,"Korea, South",Loan,,Loan/Credit Committee,Semiconductor And Related Device Manufacturing,Long Term,"Sun And Kim Co, Ltd.",Ex-Im Bank,"Evergreen Solar, Inc.","Evergreen Solar, Inc.","Sun And Kim Co, Ltd.","Sun And Kim Co, Ltd.","Sun And Kim Co, Ltd.",No,$6653790.00,$0.00,$0.00,$0.00,4.51%,,,$0.00,$0.00,$0.00,2010
07084475XX0002,AP084475XX,Approved,04/13/2010,,06/30/2010,N,"Korea, South",Loan,,Loan/Credit Committee,Semiconductor And Related Device Manufacturing,Long Term,"Sun And Kim Co, Ltd.",Ex-Im Bank,"Evergreen Solar, Inc.","Evergreen Solar, Inc.","Sun And Kim Co, Ltd.","Sun And Kim Co, Ltd.","Sun And Kim Co, Ltd.",No,$2348396.00,$0.00,$0.00,$0.00,4.51%,,,$0.00,$0.00,$0.00,2010
07084500XX0001,AP084500XX,Approved,02/24/2010,,07/15/2011,N,Saudi Arabia,Loan,,Board,Machine Tools - Metal Forming Types,Long Term,Mahmood Saeed Collective Company,Ex-Im Bank,"Stolle Machinery, Llc","Stolle Machinery Company, Llc",Mahmood Saeed Collective Company,Mahmood Saeed Collective Company,Mahmood Saeed Glass Industries Co. Ltd,No,$59205974.00,$56929481.09,$46033.56,$45783100.89,3.66%,,,$44951543.70,$0.00,$0.00,2010
07084500XX0002,AP084500XX,Approved,02/24/2010,,07/15/2011,N,Saudi Arabia,Loan,,Board,Machine Tools - Metal Forming Types,Long Term,Mahmood Saeed Collective Company,Ex-Im Bank,"Stolle Machinery, Llc","Stolle Machinery Company, Llc",Mahmood Saeed Collective Company,Mahmood Saeed Collective Company,Mahmood Saeed Glass Industries Co. Ltd,No,$601186.00,$0.00,$0.00,$0.00,3.66%,,,$456444.45,$0.00,$0.00,2010
07084609XX0001,AP084609XX,Approved,07/29/2010,,11/26/2012,N,"Korea, South",Loan,,Board,Mining Machinery And Equipment Manufacturing,Long Term,"Minera Y Metalurgica Del Boleo, Sa De Cv",Ex-Im Bank,Fl Smidth Inc,Various - United States Small Suppliers,Korea Resources Corporation,"Minera Y Metalurgica Del Boleo, Sa De Cv",Korea Resources Corporation,No,$294827870.00,$21924240.12,$0.00,$21924240.12,3.02%,,,$64116216.89,$3319761.81,$3319761.81,2010
07084609XX0002,AP084609XX,Approved,07/29/2010,,11/26/2012,N,"Korea, South",Loan,,Board,Mining Machinery And Equipment Manufacturing,Long Term,"Minera Y Metalurgica Del Boleo, Sa De Cv",Ex-Im Bank,Fl Smidth Inc,Various - United States Small Suppliers,Korea Resources Corporation,"Minera Y Metalurgica Del Boleo, Sa De Cv",Korea Resources Corporation,No,$104056796.00,$104056796.00,$0.00,$104056796.00,3.02%,,,$22629231.43,$1171679.52,$1171679.52,2010
07084609XX0003,AP084609XX,Approved,07/29/2010,,11/26/2012,N,"Korea, South",Loan,,Board,Mining Machinery And Equipment Manufacturing,Long Term,"Minera Y Metalurgica Del Boleo, Sa De Cv",Ex-Im Bank,Fl Smidth Inc,Various - United States Small Suppliers,Korea Resources Corporation,"Minera Y Metalurgica Del Boleo, Sa De Cv",Korea Resources Corporation,No,$20727334.00,$395937.60,$0.00,$395937.60,3.02%,,,$4507573.32,$233389.78,$233389.78,2010
07084622XX0001,AP084622XX,Approved,04/06/2010,,12/16/2011,N,Ireland,Loan,,Board,Aircraft Manufacturing,Long Term,Ryanair Holdings Plc,Ex-Im Bank,"Boeing Company, The","Boeing Company, The",Spv/Ryanair Ltd.,Spv/Ryanair Ltd.,Ryanair Holdings Plc,No,$0.00,$94564480.67,$0.00,$82652819.18,0.78%,,,$0.00,$0.00,$0.00,2010
07084679XX0001,AP084679XX,Approved,12/11/2009,,10/01/2010,N,Germany,Loan,,Loan/Credit Committee,Nonclassifiable Establishments,Medium Term,Gmb Glasmanufaktur Brandenburg Gmbh,Ex-Im Bank,Xerocoat Inc,Xerocoat Inc,Gmb Glasmanufaktur Brandenburg Gmbh,Gmb Glasmanufaktur Brandenburg Gmbh,Interfloat Corporation,No,$4875209.00,$0.00,$0.00,$0.00,3.33%,,,$0.00,$0.00,$0.00,2010
07084679XX0002,AP084679XX,Approved,12/11/2009,,10/01/2010,N,Germany,Loan,,Loan/Credit Committee,Nonclassifiable Establishments,Medium Term,Gmb Glasmanufaktur Brandenburg Gmbh,Ex-Im Bank,Xerocoat Inc,Xerocoat Inc,Gmb Glasmanufaktur Brandenburg Gmbh,Gmb Glasmanufaktur Brandenburg Gmbh,Interfloat Corporation,No,$187470.00,$0.00,$0.00,$0.00,3.33%,,,$0.00,$0.00,$0.00,2010
07084752XX0002,AP084752XX,Approved,01/07/2010,,06/14/2011,N,Hong Kong,Loan,,Board,Aircraft Manufacturing,Long Term,Cathay Pacific Airways Limited,Ex-Im Bank,"Boeing Company, The",General Electric Company,Spv/Cathay Pacific Airways Ltd,Spv/Cathay Pacific Airways Ltd,Cathay Pacific Airways Limited,No,$0.00,$110598969.50,$0.00,$93750719.74,0.602%,,,$0.00,$0.00,$0.00,2010
07084800XX0001,AP084800XX,Approved,04/01/2010,,12/01/2012,N,Costa Rica,Loan,,Board,Radio and Television Broadcasting and Communicatio,Long Term,Bnp-Paribas,Ex-Im Bank,"Motorola, Inc.","Motorola Solutions, Inc.",Inst Costarricense De Electricidad,Inst Costarricense De Electricidad,Inst Costarricense De Electricidad,No,$0.00,$11412805.52,$0.00,$5706402.76,1.659%,,,$0.00,$0.00,$0.00,2010
07084863XX0001,AP084863XX,Approved,12/10/2009,,11/08/2011,N,United Arab Emirates,Loan,,Board,Large Commercial Jet Aircraft,Long Term,Bnp-Paribas,Ex-Im Bank,"Boeing Company, The","Boeing Company, The",Spv/Al Waha Capital - Pjsc,Presidential Flight Authority,Spv/Al Waha Capital - Pjsc,No,$0.00,$86858572.34,$0.00,$74305967.43,0.78%,,,$0.00,$0.00,$0.00,2010
07084909XX0001,AP084909XX,Approved,03/04/2010,,09/21/2011,N,"Korea, South",Loan,,Board,Aircraft Engine And Engine Parts Manufacturing,Medium Term,Societe Generale,Ex-Im Bank,Pratt & Whitney Power Systems,Pratt & Whitney Power Systems,"Korean Air Lines Co., Ltd.","Korean Air Lines Co., Ltd.","Korean Air Lines Co., Ltd.",No,$0.00,$56554965.80,$0.00,$0.00,0.902%,,,$0.00,$0.00,$0.00,2010
07085035XX0001,AP085035XX,Approved,04/15/2010,,10/27/2011,N,Australia,Loan,,Board,Aircraft Manufacturing,Long Term,Virgin Blue Intl Airlines Pty Limited,Ex-Im Bank,"Boeing Company, The","Boeing Company, The",Virgin Blue Intl Airlines Pty Limited,Virgin Blue Intl Airlines Pty Limited,Virgin Blue Intl Airlines Pty Limited,No,$0.00,$132171345.70,$0.00,$113994846.00,0.703%,,,$0.00,$0.00,$0.00,2010
07085220XX0001,AP085220XX,Approved,09/29/2010,,04/20/2011,N,Mexico,Loan,,Board,Drilling Oil and Gas Wells,Long Term,Bnp-Paribas,Ex-Im Bank,Halliburton Energy Services,Halliburton Energy Services,Petroleos Mexicanos,Pemex Exploracion Y Produccion,Pemex Exploracion Y Produccion,No,$0.00,$380000000.00,$0.00,$300000000.00,0.809%,,,$0.00,$0.00,$0.00,2010
07085221XX0001,AP085221XX,Approved,09/29/2010,,04/20/2011,N,Mexico,Loan,,Board,Drilling Oil and Gas Wells,Long Term,Societe Generale,Ex-Im Bank,Ensco Incorporated,Microflex Corporation,Petroleos Mexicanos,Pemex Exploracion Y Produccion,Pemex Exploracion Y Produccion,No,$0.00,$190000000.00,$0.00,$150000000.00,0.799%,,,$0.00,$0.00,$0.00,2010
08064737XP0001,AP064737XP,Approved,09/20/2010,,06/30/2011,N,United States,Working Capital,,Individual Delegated Authority,Transportation Equipment and Supplies - Except Moto,Short Term,Bank Of America Na,Bank Of America Na,American General Supplies,American General Supplies,American General Supplies,Unknown,American General Supplies,Yes,$3600000.00,$3600000.00,$0.00,$0.00,,,,$3600000.00,$0.00,$3600000.00,2010
08071060XL0002,AP071060XL,Approved,08/11/2010,,11/26/2010,N,United States,Working Capital,,Individual Delegated Authority,Farm Supplies,Short Term,Wells Fargo Bank Minnesota Na,Wells Fargo Bank N.A.,Calaway Trading Inc,Calaway Trading Inc,Calaway Trading Inc,Unknown,Calaway Trading Inc,Yes,$5400000.00,$5400000.00,$0.00,$0.00,,,,$5400000.00,$0.00,$0.00,2010
08073082XL0002,AP073082XL,Approved,04/23/2010,,12/31/2010,N,United States,Working Capital,,Individual Delegated Authority,Air and Gas Compressors,Short Term,People'S Mutual Holdings,Peoples Bank,"Norwalk Compressor Company, Inc.","Norwalk Compressor Company, Inc.","Norwalk Compressor Company, Inc.",Unknown,"Norwalk Compressor Company, Inc.",Yes,$1350000.00,$1350000.00,$0.00,$0.00,,,,$1350000.00,$0.00,$0.00,2010
08075258XK0001,AP075258XK,Approved,01/28/2010,,12/09/2010,N,United States,Working Capital,,Individual Delegated Authority,Petroleum And Petroleum Products Merchant Wholesa,Short Term,Frost National,Frost National,Elare Partners Ltd,Elare Partners Ltd,Elare Partners Ltd,Unknown,2003 Luis Davis Trust,Yes,$6300000.00,$6300000.00,$0.00,$0.00,,,,$6300000.00,$0.00,$6300000.00,2010
08076375XJ0001,AP076375XJ,Approved,08/20/2010,,06/23/2011,N,United States,Working Capital,,Individual Delegated Authority,Electrical Apparatus and Equipment - Wiring Supplie,Short Term,"Jpmorgan Chase Bank, Na","Jpmorgan Chase Bank, Na",Ohm International Corporation,Ohm International Corporation,Ohm International Corporation,Unknown,Gandolfo Family Limited Partnership,Yes,$3150000.00,$3150000.00,$0.00,$0.00,,,,$3150000.00,$0.00,$0.00,2010
08076375XJ0002,AP076375XJ,Approved,09/01/2010,,06/23/2011,N,United States,Working Capital,,Individual Delegated Authority,Electrical Apparatus and Equipment - Wiring Supplie,Short Term,"Jpmorgan Chase Bank, Na","Jpmorgan Chase Bank, Na",Ohm International Corporation,Ohm International Corporation,Ohm International Corporation,Unknown,Gandolfo Family Limited Partnership,Yes,$1350000.00,$1350000.00,$0.00,$0.00,,,,$1350000.00,$0.00,$0.00,2010
08077059XJ0001,AP077059XJ,Approved,05/27/2010,,03/31/2011,N,United States,Working Capital,,Individual Delegated Authority,Transportation Equipment And Supplies (Except Mot,Short Term,Wells Fargo Bank Minnesota Na,"Wells Fargo Bank, N.A.",Hansair Logistics Inc,Hansair Logistics Inc,Hansair Logistics Inc,Unknown,Hansair Logistics Inc,Yes,$4477500.00,$4477500.00,$0.00,$0.00,,,,$4477500.00,$0.00,$4477500.00,2010
08077066XG0001,AP077066XG,Approved,09/01/2010,,06/29/2011,N,United States,Working Capital,,Individual Delegated Authority,Wholesale Trade Agents And Brokers,Short Term,"Pnc Bank, National Association","Pnc Bank, National Association",Hpe Inc,Hpe Inc,Hpe Inc,Unknown,Hpe Inc,Yes,$3600000.00,$3600000.00,$0.00,$0.00,,,,$3600000.00,$0.00,$0.00,2010
08077069XG0001,AP077069XG,Approved,06/29/2010,,05/05/2011,N,United States,Working Capital,,Individual Delegated Authority,Meat Processed From Carcasses,Short Term,Frost National,Frost National,Almacenes De Tejas Lp,Almacenes De Tejas Lp,Almacenes De Tejas Lp,Unknown,Almacenes De Tejas Lp,Yes,$2925000.00,$2925000.00,$0.00,$0.00,,,,$2925000.00,$0.00,$0.00,2010
